filename,category,source,resolution,format
animal\animal_cat1.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat10.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat100.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat101.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat102.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat103.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat104.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat105.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat106.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat107.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat108.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat109.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat11.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat110.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat111.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat112.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat113.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat114.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat115.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat116.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat117.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat118.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat119.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat12.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat120.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat13.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat14.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat15.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat16.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat17.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat18.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat19.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat2.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat20.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat21.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat22.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat23.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat24.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat25.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat26.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat27.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat28.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat29.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat3.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat30.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat31.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat32.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat33.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat34.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat35.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat36.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat37.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat38.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat39.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat4.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat40.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat41.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat42.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat43.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat44.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat45.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat46.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat47.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat48.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat49.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat5.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat50.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat51.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat52.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat53.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat54.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat55.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat56.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat57.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat58.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat59.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat6.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat60.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat61.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat62.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat63.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat64.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat65.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat66.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat67.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat68.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat69.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat7.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat70.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat71.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat72.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat73.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat74.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat75.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat76.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat77.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat78.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat79.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat8.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat80.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat81.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat82.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat83.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat84.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat85.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat86.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat87.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat88.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat89.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat9.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat90.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat91.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat92.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat93.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat94.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat95.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat96.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat97.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat98.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_cat99.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog1.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog10.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog100.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog101.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog102.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog103.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog104.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog105.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog106.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog107.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog108.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog109.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog11.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog110.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog111.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog112.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog113.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog114.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog115.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog116.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog117.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog118.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog119.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog12.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog120.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog13.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog14.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog15.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog16.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog17.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog18.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog19.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog2.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog20.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog21.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog22.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog23.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog24.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog25.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog26.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog27.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog28.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog29.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog3.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog30.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog31.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog32.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog33.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog34.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog35.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog36.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog37.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog38.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog39.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog4.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog40.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog41.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog42.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog43.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog44.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog45.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog46.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog47.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog48.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog49.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog5.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog50.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog51.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog52.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog53.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog54.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog55.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog56.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog57.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog58.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog59.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog6.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog60.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog61.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog62.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog63.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog64.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog65.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog66.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog67.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog68.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog69.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog7.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog70.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog71.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog72.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog73.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog74.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog75.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog76.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog77.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog78.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog79.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog8.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog80.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog81.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog82.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog83.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog84.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog85.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog86.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog87.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog88.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog89.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog9.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog90.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog91.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog92.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog93.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog94.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog95.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog96.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog97.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog98.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_dog99.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant1.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant10.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant100.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant101.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant102.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant103.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant104.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant105.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant106.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant107.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant108.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant109.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant11.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant110.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant111.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant112.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant113.jpg,animal,combined_dataset,128x128,JPEG
animal\animal_elephant114.jpg,animal,combined_dataset,128x128,JPEG
